nomor_run,waktu_A,waktu_T0,waktu_B,waktu_T1,waktu_C,waktu_total,sukses
1,13.56,12.52,5.46,7.73,214.54,233.56,Ya
2,14.50,14.33,6.41,7.27,165.45,186.36,Ya
3,14.50,16.96,7.73,6.98,151.12,173.35,Ya
4,15.59,11.75,7.33,7.86,115.32,138.24,\makecell{Gagal\\DWA gagal\\membuat path}
5,15.23,13.60,7.10,6.50,129.48,151.81,Ya
6,19.00,16.76,7.85,7.97,200.13,226.97,Ya
7,19.00,16.00,8.28,8.24,194.00,221.28,Ya
8,21.39,18.74,15.67,17.69,103.95,141.01,\makecell{Gagal\\hilang\\lokalisasi}
9,18.43,16.55,8.77,8.04,166.53,193.74,Ya
10,17.48,14.97,7.83,8.48,182.42,207.73,Ya
Mean,16.46,15.21,7.43,7.65,175.46,199.35,
